"outcome","rasegrp","standardized_rate","SE","lower_95CI","upper_95CI"
"a1","Black Sexual Minority Men",0.582327753989866,0.0034542554020988,0.575557413401752,0.589098094577979
"a1","Non-Black Sexual Minority Men",0.640194489465143,0.0074680056316576,0.625557198427094,0.654831780503191
"a1","Black Heterosexual Men",0.683144246353315,0.00483855382629345,0.67366068085378,0.69262781185285
"a1","Non-Black Heterosexual Men",0.479591836734685,0.0131124574115553,0.453891420208037,0.505292253261334
"a2","Black Sexual Minority Men",0.558972362787036,0.0033719908028172,0.552363260813514,0.565581464760557
"a2","Non-Black Sexual Minority Men",0.602917341977268,0.00688975987037009,0.589413412631342,0.616421271323193
"a2","Black Heterosexual Men",0.651539708265793,0.00467938789063745,0.642368108000144,0.660711308531442
"a2","Non-Black Heterosexual Men",0.448979591836741,0.0119579474888403,0.425542014758614,0.472417168914868
"a3","Black Sexual Minority Men",0.322304398598687,0.00363665855426464,0.315176547832328,0.329432249365046
"a3","Non-Black Sexual Minority Men",0.376012965969563,0.00743538423949002,0.361439612860163,0.390586319078964
"a3","Black Heterosexual Men",0.471636952998367,0.00559603621020291,0.46066872202637,0.482605183970365
"a3","Non-Black Heterosexual Men",0.280612255385086,0.0141267480586079,0.252923829190214,0.308300681579957
"a4","Black Sexual Minority Men",0.24873491630985,0.00159754021961022,0.245603737479414,0.251866095140286
"a4","Non-Black Sexual Minority Men",0.312803889789303,0.00378917681812538,0.305377103225777,0.320230676352829
"a4","Black Heterosexual Men",0.309562398703406,0.00250716274017287,0.304648359732667,0.314476437674145
"a4","Non-Black Heterosexual Men",0.229591836734766,0.00498718931860127,0.219816945670307,0.239366727799224
"b2","Black Sexual Minority Men",0.95989304812834,8.47226929186292e-05,0.95972699165022,0.960059104606461
"b2","Non-Black Sexual Minority Men",0.941772151898734,0.000580519507499034,0.940634333664035,0.942909970133432
"b2","Black Heterosexual Men",0.95373665480427,6.07267897874493e-05,0.953617630296286,0.953855679312253
"b2","Non-Black Heterosexual Men",0.936170212765957,0.000911067207946418,0.934384521038382,0.937955904493532
"b3","Black Sexual Minority Men",0.576601671309183,0.00479962741694756,0.567194401571966,0.5860089410464
"b3","Non-Black Sexual Minority Men",0.62365591397842,0.00760840435086953,0.608743441450716,0.638568386506124
"b3","Black Heterosexual Men",0.723880597014926,0.00520370938254706,0.713681326625134,0.734079867404719
"b3","Non-Black Heterosexual Men",0.625000000000001,0.0202011673826399,0.585405711930026,0.664594288069975
"b4","Black Sexual Minority Men",0.444986073605847,0.000532462359872227,0.443942447380498,0.446029699831197
"b4","Non-Black Sexual Minority Men",0.518817204300402,0.000414423085347112,0.518004935053122,0.519629473547682
"b4","Black Heterosexual Men",0.475124378131099,0.000454328074253253,0.474233895105563,0.476014861156635
"b4","Non-Black Heterosexual Men",0.511363636263039,0.00316787376502197,0.505154603683596,0.517572668842483
